,0,1,2
from,104,98,117
mesos,133,117,92
maintainer,68,59,139
mike,105,107,123
com,76,33,105
add,149,160,108
http,96,84,116
   ,127,124,104
downloads,109,82,94
mesosphere,117,122,122
io,94,79,113
marathon,142,126,88
v,120,66,68
      ,135,122,92
rc,142,126,87
  ,147,139,91
       ,128,100,84
tgz,132,62,52
tmp,161,124,62
run,155,161,101
mkdir,187,130,40
p,165,120,56
opt,155,96,49
    ,151,144,89
tar,124,25,36
xzf,134,37,32
c,119,84,83
strip,143,58,36
rm,180,151,62
f,127,95,82
entrypoint,169,110,45
bin,159,94,43
start,163,137,72
java,133,110,86
apt,162,209,143
get,157,208,151
update,160,204,142
y,155,212,158
install,156,185,125
unzip,134,140,110
pull,111,116,123
twitter,119,105,100
built,107,127,140
kestrel,140,136,98
jar,137,80,59
include,167,147,74
pom,164,138,72
xml,171,143,65
cd,150,112,67
mvn,147,134,88
assembly,133,121,95
single,105,101,116
ln,194,147,44
s,148,144,95
target,152,133,80
     ,142,126,87
with,135,155,120
dependencies,128,157,136
wrapper,140,125,88
sh,165,118,55
workdir,157,111,59
bash,151,137,87
e,120,106,101
software,113,161,165
properties,149,177,129
common,145,170,125
repository,113,139,138
ppa,102,148,165
haproxy,154,128,75
golang,97,74,109
git,114,124,121
mercurial,127,166,146
env,130,120,97
gopath,141,86,58
go,123,86,79
github,83,39,98
tools,123,121,109
godep,123,123,111
t,116,147,140
src,148,91,53
bamboo,151,109,65
restore,126,116,99
build,130,145,120
var,220,180,48
cmd,159,126,68
help,137,116,87
exhibitor,148,124,78
zookeeper,150,104,62
curl,118,130,122
o,126,98,85
gz,125,2,17
www,167,128,59
apache,154,138,82
org,79,56,116
dist,134,124,95
        ,127,107,90
snapshots,124,128,112
clean,168,212,138
package,139,128,93
the,96,145,174
script,133,138,109
to,110,156,161
setup,137,125,93
configs,154,147,91
and,119,151,140
exec,165,141,71
optional,147,181,134
web,142,112,76
for,110,141,145
authentication,137,145,111
ex,124,153,141
python,147,166,118
logger,143,138,97
pip,166,195,123
r,159,128,68
requirements,189,183,85
txt,162,122,59
py,155,160,101
h,151,138,86
label,54,34,141
tony,127,132,110
me,97,100,128
apk,175,211,131
pkgs,123,140,124
libc,148,189,142
dev,155,210,154
edge,103,118,136
del,154,212,162
set,122,156,142
up,122,166,156
repo,104,101,117
pin,125,139,122
latest,103,88,110
version,123,78,74
echo,135,142,108
dl,67,44,130
cdn,75,62,131
alpinelinux,34,20,164
alpine,91,81,123
community,123,125,110
etc,172,165,85
repositories,138,162,120
no,166,209,139
cache,181,200,108
google,90,76,117
remove,136,189,159
packages,117,137,131
move,119,141,133
binary,113,111,111
mv,149,85,48
rf,198,171,62
listen,151,159,109
mysql,171,169,89
copy,151,129,80
sql,142,125,85
project,117,95,95
usr,174,106,35
local,167,99,37
maven,123,79,76
jdk,124,103,92
as,95,116,147
b,97,41,82
frolvlad,108,108,124
jars,140,116,83
snapshot,128,102,88
chris,101,112,134
musl,132,151,122
libxslt,153,224,178
zlib,162,209,145
libxml,155,212,161
mbedtls,133,135,104
hiawatha,146,153,105
testing,114,135,133
allow,138,165,127
untrusted,133,153,124
addgroup,162,150,87
data,168,128,60
adduser,165,155,89
g,165,171,98
server,137,131,97
srv,161,120,62
expose,111,109,116
tcp,107,85,104
volume,163,137,72
sites,219,203,73
d,152,131,80
tls,133,144,115
continuumio,124,107,95
miniconda,124,77,72
pycharm,138,128,92
within,114,138,137
container,119,140,133
using,111,140,141
singularity,137,130,96
a,109,105,114
in,109,146,152
your,108,141,152
home,156,102,52
openssh,154,200,147
client,143,150,106
libxtst,125,177,162
libxext,120,183,178
libxrender,121,185,178
libfreetype,146,208,170
lib,185,157,63
lists,255,255,79
groupadd,166,146,80
myuser,143,142,100
useradd,174,152,76
scratch,128,126,107
app,159,120,64
environment,117,147,142
yml,149,118,74
conda,164,168,98
create,138,144,109
n,135,135,104
chown,186,118,34
activate,145,142,99
myapp,158,137,79
path,157,109,57
envs,156,151,93
docker,138,129,94
compose,129,98,83
u,146,131,87
l,115,102,103
https,80,52,114
releases,75,0,83
download,92,39,86
linux,108,41,67
zip,140,105,74
linkedin,102,88,110
burrow,135,114,86
sso,134,128,99
raw,86,54,103
githubusercontent,79,41,106
gpm,139,140,102
chmod,170,105,40
x,138,89,64
config,159,146,84
cfg,166,135,67
ruby,128,133,112
michael,95,94,126
net,97,108,131
assets,144,127,86
image,93,111,145
gems,143,147,104
unity,142,134,93
prevent,118,148,143
documentation,112,131,134
installation,118,140,132
space,125,144,127
ri,166,199,125
rdoc,170,206,131
gemrc,163,164,95
related,121,140,129
gem,160,169,103
force,136,172,138
base,115,125,123
scripts,148,130,84
programming,129,140,114
empty,137,153,117
directory,124,134,118
be,82,137,192
mapped,131,142,120
by,103,149,163
source,126,119,102
code,135,129,98
when,105,159,174
launches,122,142,131
shell,140,129,94
that,91,156,196
ubuntu,78,82,142
xenial,88,107,153
cloudflared,134,127,96
file,128,138,114
equinox,130,132,108
stable,102,110,128
amd,107,33,63
deb,97,74,107
cloudflare,125,115,99
certificates,140,201,173
full,126,134,115
upgrade,165,210,143
yes,162,198,130
ca,129,179,157
dpkg,133,152,121
i,140,158,119
autoclean,164,216,153
configuration,131,141,116
yaml,147,141,94
port,122,119,109
launch,134,127,99
service,156,139,81
udp,106,82,102
proxy,133,123,95
dns,126,125,106
address,138,149,114
arg,117,105,103
vcs,67,0,101
ref,104,55,80
date,118,141,133
travis,130,132,107
ez,133,136,110
readme,127,115,96
md,119,87,85
blob,99,81,109
master,114,90,93
description,91,98,132
this,74,142,212
dockerfile,98,113,141
will,100,148,171
schema,82,41,107
usage,123,130,116
tree,120,134,123
url,99,55,89
name,121,103,96
vendor,126,100,87
devel,133,176,148
test,130,128,105
cron,166,165,93
log,202,175,61
mydumper,135,131,98
backups,166,154,84
host,129,134,112
db,141,126,89
threads,135,148,116
lftp,137,154,119
uid,146,138,94
disabled,155,161,101
password,143,148,107
gecos,148,150,102
borg,141,138,97
backup,151,132,82
quiet,133,150,121
gambol,132,134,106
keycloak,136,99,75
cgo,143,125,85
enabled,173,141,61
goos,144,100,65
installsuffix,143,100,68
templates,157,120,64
slim,96,106,139
dumbinit,136,135,101
debian,84,124,171
frontend,103,175,199
noninteractive,115,215,229
recommends,165,224,161
wget,120,138,125
dumb,133,76,61
init,156,123,67
yelp,118,76,78
purge,146,205,163
gemfile,168,156,81
libssl,151,216,171
essential,141,217,189
bundle,149,144,94
j,159,163,96
without,121,163,150
development,117,139,133
autoremove,165,214,148
rb,147,137,91
elastic,106,81,98
logtrail,135,130,98
co,90,68,111
kibana,147,88,53
plugin,124,101,87
alexander,107,107,120
tg,138,137,100
de,94,76,112
rack,134,139,110
production,135,145,114
sha,110,39,62
sum,120,44,56
af,118,79,83
fc,117,97,97
aa,111,58,78
fe,117,72,80
fd,133,105,87
dir,171,145,69
asciidoctor,129,137,112
sbin,180,124,42
gradle,138,90,67
user,144,133,92
sources,134,176,144
list,123,168,152
slides,147,143,96
jessie,90,128,171
backports,98,149,177
main,113,140,137
qq,149,195,146
openjdk,122,132,119
ttf,118,164,154
mscorefonts,111,139,145
installer,117,108,103
msttcorefonts,117,140,131
accepted,85,94,148
eula,119,145,134
select,114,131,129
true,131,145,117
debconf,110,152,159
selections,104,181,203
q,128,151,128
clone,77,47,118
sed,167,191,120
              ,139,125,90
gradlew,144,144,101
lock,181,164,75
xsltproc,137,160,125
output,136,125,94
docbook,142,164,118
xsl,183,182,88
custom,148,143,94
template,147,107,67
generate,137,138,104
serve,142,146,106
onbuild,140,128,92
root,155,128,74
gmail,67,49,133
gosu,123,64,65
virtual,163,216,158
deps,139,176,140
gnupg,128,163,142
openssl,143,164,120
tianon,83,0,75
print,120,108,101
architecture,118,116,113
asc,118,39,50
export,131,118,94
gnupghome,162,108,49
mktemp,173,129,55
gpg,86,100,144
keyserver,33,60,203
ha,94,109,148
pool,114,140,131
sks,0,47,255
keyservers,16,37,217
recv,59,47,146
keys,89,88,127
bf,107,61,85
dd,104,43,74
batch,98,84,110
verify,100,76,100
nobody,149,120,75
ac,98,74,106
httpredir,110,126,138
